Local Date,Local Time,Close,Net,%Chg,Open,Low,High
21-Jul-2023,14:05,"7,910.45",-7.86,-0.10%,"7,920.44","7,910.45","7,921.90"
21-Jul-2023,14:00,"7,918.31",+3.81,+0.05%,"7,915.47","7,910.67","7,923.09"
21-Jul-2023,13:55,"7,914.50",+4.23,+0.05%,"7,909.85","7,909.34","7,915.86"
21-Jul-2023,13:50,"7,910.27",+0.95,+0.01%,"7,910.10","7,906.69","7,910.51"
21-Jul-2023,13:45,"7,909.32",-7.02,-0.09%,"7,917.11","7,907.73","7,920.33"
21-Jul-2023,13:40,"7,916.34",-1.92,-0.02%,"7,915.47","7,911.56","7,916.34"
21-Jul-2023,13:35,"7,918.26",+12.85,+0.16%,"7,907.58","7,905.77","7,918.26"
21-Jul-2023,13:30,"7,905.41",+4.93,+0.06%,"7,900.19","7,897.02","7,905.70"
21-Jul-2023,13:25,"7,900.48",-3.15,-0.04%,"7,901.39","7,896.67","7,901.39"
21-Jul-2023,13:20,"7,903.63",+7.24,+0.09%,"7,897.10","7,897.10","7,904.37"
21-Jul-2023,13:15,"7,896.39",+5.83,+0.07%,"7,890.71","7,890.71","7,901.83"
21-Jul-2023,13:10,"7,890.56",+1.66,+0.02%,"7,889.12","7,889.12","7,892.80"
21-Jul-2023,13:05,"7,888.90",+8.42,+0.11%,"7,881.60","7,879.57","7,891.35"
21-Jul-2023,13:00,"7,880.48",+0.56,+0.01%,"7,881.07","7,876.35","7,881.07"
21-Jul-2023,12:55,"7,879.92",+5.33,+0.07%,"7,875.43","7,874.70","7,884.12"
21-Jul-2023,12:50,"7,874.59",+0.30,+0.00%,"7,874.66","7,868.34","7,876.12"
21-Jul-2023,12:45,"7,874.29",-12.00,-0.15%,"7,885.46","7,872.67","7,885.46"
21-Jul-2023,12:40,"7,886.29",+0.76,+0.01%,"7,884.41","7,881.27","7,886.74"
21-Jul-2023,12:35,"7,885.53",-1.13,-0.01%,"7,884.51","7,880.39","7,888.38"
21-Jul-2023,12:30,"7,886.66",-8.79,-0.11%,"7,894.72","7,886.66","7,894.72"
21-Jul-2023,12:25,"7,895.45",-1.20,-0.02%,"7,897.29","7,895.45","7,902.88"
21-Jul-2023,12:20,"7,896.65",+1.57,+0.02%,"7,894.34","7,890.43","7,898.41"
21-Jul-2023,12:15,"7,895.08",-0.84,-0.01%,"7,896.48","7,889.29","7,899.14"
21-Jul-2023,12:10,"7,895.92",-10.60,-0.13%,"7,905.83","7,895.37","7,905.83"
21-Jul-2023,12:05,"7,906.52",+6.02,+0.08%,"7,903.72","7,898.92","7,909.55"
21-Jul-2023,12:00,"7,900.50",+2.10,+0.03%,"7,897.01","7,893.92","7,901.70"
21-Jul-2023,11:55,"7,898.40",-6.81,-0.09%,"7,908.33","7,898.40","7,914.31"
21-Jul-2023,11:50,"7,905.21",+2.75,+0.03%,"7,900.02","7,893.86","7,905.21"
21-Jul-2023,11:45,"7,902.46",-9.70,-0.12%,"7,913.43","7,902.00","7,916.77"
21-Jul-2023,11:40,"7,912.16",-7.80,-0.10%,"7,919.11","7,912.16","7,919.31"
21-Jul-2023,11:35,"7,919.96",-5.49,-0.07%,"7,925.50","7,918.49","7,932.41"
21-Jul-2023,11:30,"7,925.45",-0.60,-0.01%,"7,925.67","7,920.27","7,927.74"
21-Jul-2023,11:25,"7,926.05",+7.94,+0.10%,"7,914.38","7,914.38","7,927.53"
21-Jul-2023,11:20,"7,918.11",-5.70,-0.07%,"7,924.26","7,917.89","7,925.49"
21-Jul-2023,11:15,"7,923.81",-6.44,-0.08%,"7,930.07","7,923.81","7,936.52"
21-Jul-2023,11:10,"7,930.25",+18.33,+0.23%,"7,910.88","7,910.88","7,930.25"
21-Jul-2023,11:05,"7,911.92",+0.71,+0.01%,"7,910.20","7,910.20","7,921.95"
21-Jul-2023,11:00,"7,911.21",-0.44,-0.01%,"7,910.79","7,906.78","7,914.70"
21-Jul-2023,10:55,"7,911.65",-18.38,-0.23%,"7,928.29","7,911.65","7,928.75"
21-Jul-2023,10:50,"7,930.03",+25.14,+0.32%,"7,903.30","7,903.30","7,931.74"
21-Jul-2023,10:45,"7,904.89",+6.05,+0.08%,"7,901.48","7,899.93","7,915.39"
21-Jul-2023,10:40,"7,898.84",-10.09,-0.13%,"7,909.26","7,896.52","7,918.18"
21-Jul-2023,10:35,"7,908.93",+10.45,+0.13%,"7,896.65","7,896.65","7,913.96"
21-Jul-2023,10:30,"7,898.48",-19.82,-0.25%,"7,916.06","7,897.91","7,917.12"
21-Jul-2023,10:25,"7,918.30",-21.88,-0.28%,"7,938.73","7,916.18","7,939.65"
21-Jul-2023,10:20,"7,940.18",+5.32,+0.07%,"7,934.76","7,934.76","7,946.24"
21-Jul-2023,10:15,"7,934.86",+8.17,+0.10%,"7,925.90","7,922.68","7,943.94"
21-Jul-2023,10:10,"7,926.69",+5.82,+0.07%,"7,925.78","7,921.19","7,934.77"
21-Jul-2023,10:05,"7,920.87",-10.82,-0.14%,"7,930.40","7,912.50","7,930.49"
21-Jul-2023,10:00,"7,931.69",-8.02,-0.10%,"7,940.52","7,931.07","7,945.73"
21-Jul-2023,09:55,"7,939.71",+3.93,+0.05%,"7,940.44","7,932.55","7,945.11"
21-Jul-2023,09:50,"7,935.78",-22.46,-0.28%,"7,963.63","7,935.78","7,976.29"
21-Jul-2023,09:45,"7,958.24",+9.76,+0.12%,"7,943.75","7,943.75","7,961.18"
21-Jul-2023,09:40,"7,948.48",-30.38,-0.38%,"7,975.45","7,941.51","7,980.28"
21-Jul-2023,09:35,"7,978.86",+71.86,+0.91%,"7,907.00","7,907.00","7,982.50"
20-Jul-2023,16:20,"7,907.00",-0.01,-0.00%,"7,907.00","7,907.00","7,907.00"
20-Jul-2023,16:05,"7,907.01",-3.10,-0.04%,"7,908.40","7,907.01","7,908.40"
20-Jul-2023,16:00,"7,910.11",-1.39,-0.02%,"7,911.94","7,906.20","7,914.29"
20-Jul-2023,15:55,"7,911.50",+4.38,+0.06%,"7,905.90","7,905.90","7,917.95"
20-Jul-2023,15:50,"7,907.12",-5.14,-0.06%,"7,911.62","7,903.09","7,911.62"
20-Jul-2023,15:45,"7,912.26",+5.95,+0.08%,"7,907.58","7,907.58","7,917.04"
20-Jul-2023,15:40,"7,906.31",+2.66,+0.03%,"7,904.52","7,902.99","7,912.30"
20-Jul-2023,15:35,"7,903.65",+19.50,+0.25%,"7,885.02","7,885.02","7,905.86"
20-Jul-2023,15:30,"7,884.15",-4.48,-0.06%,"7,888.08","7,884.15","7,891.45"
20-Jul-2023,15:25,"7,888.63",+3.53,+0.04%,"7,884.87","7,884.33","7,891.63"
20-Jul-2023,15:20,"7,885.10",-11.38,-0.14%,"7,897.30","7,883.35","7,898.27"
